,start station id,tripduration,Total_trip_duration,average_trip_duration,latitude,longitude,zipcodes
74,297,52226,49068877,939.548826255122,40.7342319866733,-73.98692294698043,10003
75,298,19566,25984981,1328.0681283859756,40.68683208,-73.9796772,11217
76,301,48450,54523638,1125.3588854489165,40.72217443639959,-73.98368777580413,10009
77,302,25243,27615759,1093.996711959751,40.72082834,-73.97793172,10009
78,303,32461,40515601,1248.1316348849389,40.72362738,-73.99949601,10012
79,304,33223,48331207,1454.7514372573216,40.70463334,-74.01361706,10004
80,305,46376,52040325,1122.1391452475418,40.76095756274539,-73.96724471886127,10022
81,307,51845,54828962,1057.5554441122576,40.71427487,-73.98990025,
82,308,20322,19761973,972.4423285109732,40.71307915610471,-73.99851190480908,10038
83,309,26861,33709903,1254.975726890287,40.7149787,-74.013012,10007
84,310,15703,17480815,1113.2149907660958,40.68926940284277,-73.98912866180602,11201
