,end station id,tripduration,Total_trip_duration,average_trip_duration,latitude,longitude,zipcodes
74,297,52355,46929344,896.3679495750167,40.734231986706135,-73.98692294711108,10003
75,298,19680,26399997,1341.4632621951218,40.68683208,-73.9796772,11217
76,301,48407,53375690,1102.6440390852565,40.7221744363964,-73.98368777579152,10009
77,302,25297,36938238,1460.1825512906669,40.72082834,-73.97793172,10009
78,303,37177,45205602,1215.9561556876563,40.72362738,-73.99949601,10012
79,304,36373,61501399,1690.8530778324582,40.70463334,-74.01361706,10004
80,305,46533,49917751,1072.7387230567554,40.76095756273613,-73.9672447186964,10022
81,307,52211,59077281,1131.5102373063148,40.71427487,-73.98990025,
82,308,20743,22782866,1098.3399701103988,40.713079156183774,-73.99851190532036,10038
83,309,27926,34624559,1239.8681873522885,40.7149787,-74.013012,10007
84,310,15912,16802797,1055.9827174459526,40.68926940306813,-73.98912866191365,11201
